"ArtistId","Name","TotalTracks","TotalValue"
238,Maurizio Pollini,1,0.99
240,Gustav Mahler,1,0.99
241,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1,0.99
242,Edo de Waart & San Francisco Symphony,1,0.99
243,Antal Doráti & London Symphony Orchestra,1,0.99
244,Choir Of Westminster Abbey & Simon Preston,1,0.99
245,Michael Tilson Thomas & San Francisco Symphony,2,1.98
246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1,0.99
247,The King's Singers,2,1.98
248,Berliner Philharmoniker & Herbert Von Karajan,3,2.97
249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1,0.99
250,Christopher O'Riley,1,0.99
251,Fretwork,1,0.99
252,Amy Winehouse,23,22.77
253,Calexico,1,0.99
254,Otto Klemperer & Philharmonia Orchestra,1,0.99
255,Yehudi Menuhin,1,0.99
256,Philharmonia Orchestra & Sir Neville Marriner,1,0.99
257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1,0.99
258,Les Arts Florissants & William Christie,1,0.99
259,The 12 Cellists of The Berlin Philharmonic,1,0.99
260,Adrian Leaper & Doreen de Feis,1,0.99
261,"Roger Norrington, London Classical Players",1,0.99
262,Charles Dutoit & L'Orchestre Symphonique de Montréal,1,0.99
263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1,0.99
264,Kent Nagano and Orchestre de l'Opéra de Lyon,1,0.99
265,Julian Bream,1,0.99
266,Martin Roscoe,1,0.99
267,Göteborgs Symfoniker & Neeme Järvi,1,0.99
268,Itzhak Perlman,1,0.99
269,Michele Campanella,1,0.99
270,Gerald Moore,1,0.99
271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1,0.99
272,Emerson String Quartet,1,0.99
273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,0.99
274,Nash Ensemble,1,0.99
275,Philip Glass Ensemble,1,0.99
